school_code,school_name,district,address,grade_class,class_regular,class_special,class_total,research_topic,research_year,research_total_years,ib_stage,future_year,future_total_years,latitude,longitude
7271072,대구용산초등학교,남부,대구광역시 달서구 와룡로49길 80,나,15,1,16, ,,, ,3,4,35.85523848,128.5318784
7271096,대구용전초등학교,남부,대구광역시 달서구 용산로 260,나,12,1,13, ,,, ,, ,35.86109075,128.5312139
7251095,대구용지초등학교,동부,대구광역시 수성구 지산로 12 ,가,26,1,27, ,,, ,, ,35.82204889,128.6324737
7271250,대구용천초등학교,남부,대구광역시 달서구 조암남로32길 55 ,가,59,1,60,인성교육,2,2, ,, ,35.81972464,128.5125985
7251106,대구용호초등학교,동부,대구광역시 동구 동촌로56길 82,나,18,1,19, ,,, ,, ,35.87732554,128.6721145
7251103,대구욱수초등학교,동부,대구광역시 수성구 신매로 20 ,가,24,1,25, ,,, ,, ,35.8313394,128.7077126
7261089,대구운암초등학교,서부,대구광역시 북구 대천로 148,가,21,2,23, ,,,관심,, ,35.93549364,128.5659526
7271061,대구월배초등학교,남부,대구광역시 달서구 월배로 131,나,27,2,29,학교자율성(IB월드),1,2,월드,, ,35.81641019,128.5282742
7271103,대구월서초등학교,남부,대구광역시 달서구 월배로39길 46,가,31,1,32,마음교육,2,2, ,, ,35.82172627,128.5315269
7271079,대구월성초등학교,남부,대구광역시 달서구 학산로7길 26,라,8,1,9, ,,,관심,5,5,35.83108781,128.5318978
7271200,대구월암초등학교,남부,대구광역시 달서구 조암로6길 55,가,46,1,47, ,,,관심,1,4,35.82855436,128.5219715
7271082,대구월촌초등학교,남부,대구광역시 달서구 상인서로 60,다,25,2,27, ,,, ,, ,35.81635707,128.5432703
7281024,대구유가초등학교,달성,대구광역시 달성군 유가읍 테크노대로5길 34,다,60,2,62, ,,, ,, ,35.69228477,128.4678526
7271105,대구유천초등학교,남부,대구광역시 달서구 달서대로 39 ,가,26,1,27, ,,, ,, ,35.8125707,128.5118589
7251243,대구율금초등학교,동부,대구광역시 동구 안심로16길 70,나,24,1,25, ,,, ,, ,35.86182692,128.6916115
7251114,대구율원초등학교,동부,대구광역시 동구 율하동로 55,가,29,2,31, ,,, ,1,4,35.86475488,128.7010089
7251098,대구율하초등학교,동부,대구광역시 동구 율하동로15길 1,라,12,2,14,교실수업개선,1,2, ,3,4,35.86742109,128.701617
7271091,대구이곡초등학교,남부,대구광역시 달서구 선원남로 120 ,나,14,0,14, ,,, ,, ,35.85684431,128.5136458
7261057,대구이현초등학교,서부,대구광역시 서구 국채보상로37길 35 ,나,20,1,21, ,,, ,2,4,35.87348606,128.5503997
7261043,대구인지초등학교,서부,대구광역시 서구 서대구로66길 20 ,나,23,2,25, ,,, ,, ,35.88618347,128.5672852
7251097,대구입석초등학교,동부,대구광역시 동구 아양로 300 ,다,13,1,14, ,,, ,, ,35.89055172,128.6442492
7271098,대구장기초등학교,남부,대구광역시 달서구 장기로 280 ,가,16,1,17, ,,, ,, ,35.84439346,128.5290125
7271101,대구장동초등학교,남부,대구광역시 달서구 달구벌대로304길 112,가,57,2,59, ,,, ,, ,35.84478484,128.5317635
7271095,대구장산초등학교,남부,대구광역시 달서구 장산로 30 ,가,17,1,18, ,,, ,, ,35.85484189,128.526831
7271102,대구장성초등학교,남부,대구광역시 달서구 달구벌대로 1429-11 ,다,6,1,7, ,,, ,, ,35.85035899,128.5235034
7271107,대구조암초등학교,남부,대구광역시 달서구 조암로5길 19 ,가,21,0,21, ,,, ,, ,35.82408224,128.5284353
7251055,대구종로초등학교,동부,대구광역시 중구 경상감영길 49 ,다,20,1,21, ,,, ,1,4,35.87249671,128.5897043
7281034,대구죽곡초등학교,달성,대구광역시 달성군 다사읍 죽곡1길 18 ,가,24,2,26, ,,, ,1,4,35.85679928,128.4633756
7271067,대구죽전초등학교,남부,대구광역시 달서구 죽전길 127,다,16,2,18, ,,, ,, ,35.85778703,128.5399269
7261048,대구중리초등학교,서부,대구광역시 서구 국채보상로 135 ,다,13,1,14,학교자율성(IB월드),1,2,월드,, ,35.86971383,128.5454299
7251108,대구중앙초등학교,동부,대구광역시 수성구 만촌로 125 ,가,33,1,34, ,,, ,, ,35.87025797,128.6403299
7251075,대구지묘초등학교,동부,대구광역시 동구 파계로6길 54-3 ,다,12,1,13, ,,, ,1,4,35.94297206,128.6382464
7251096,대구지봉초등학교,동부,대구광역시 수성구 지범로31길 45 ,라,7,0,7, ,,, ,, ,35.82552532,128.6405201
7251057,대구지산초등학교,동부,대구광역시 수성구 지범로17길 3-14 ,다,9,2,11,교실수업개선,1,2, ,3,4,35.82697578,128.6303383
7271076,대구진월초등학교,남부,대구광역시 달서구 진천로4길 32 ,다,12,1,13, ,,, ,1,4,35.81091692,128.5285851
7271064,대구진천초등학교,남부,대구광역시 달서구 상화로9길 65 ,나,17,2,19,교실수업개선,1,2, ,, ,35.8112815,128.5195472
7281036,대구천내초등학교,달성,대구광역시 달성군 화원읍 성천로 192 ,나,8,5,13,교육과정,1,1, ,1,4,35.80943449,128.501982
7251111,대구청림초등학교,동부,대구광역시 수성구 고산로 51 ,나,12,1,13, ,,, ,, ,35.83567351,128.7031968
7251047,대구초등학교,동부,대구광역시 중구 명륜로23길 80 ,나,22,1,23, ,,,월드,, ,35.86401969,128.5950442
7261063,대구칠곡초등학교,서부,대구광역시 북구 칠곡중앙대로110길 5 ,나,20,2,22, ,,, ,1,4,35.94502989,128.5518734
7261042,대구칠성초등학교,서부,대구광역시 북구 침산남로32길 17,가,52,1,53, ,,, ,1,4,35.88699568,128.5932439
7261049,대구침산초등학교,서부,대구광역시 북구 성북로 25 ,가,44,2,46, ,,, ,, ,35.89125116,128.5852008
7261084,대구태암초등학교,서부,대구광역시 북구 칠곡중앙대로52길 56 ,나,18,2,20, ,,, ,, ,35.92297015,128.5505078
7261077,대구태전초등학교,서부,대구광역시 북구 칠곡중앙대로75길 16 ,다,10,1,11, ,,, ,2,4,35.93024513,128.5459192
7261080,대구태현초등학교,서부,대구광역시 북구 태전로 95 ,다,13,1,14, ,,, ,, ,35.92818607,128.5407721
7281127,대구테크노초등학교,달성,대구광역시 달성군 유가읍 현풍로 245 ,다,23,4,27,학교자율성(IB월드),2,2,월드,, ,35.70035915,128.4645802
